cidade,temperatura,sens_termica,temp_min,temp_max,umidade,clima,descricao,velo_vento,direcao_vento,pressao,visibilidade,hora
Rio Branco,35.34,38.18,35.34,35.34,41,Clouds,scattered clouds,3.6,340,1006,10000,2024-10-01 15:21:31
Maceió,27.69,29.1,27.69,27.69,61,Clouds,scattered clouds,6.17,110,1013,10000,2024-10-01 15:21:31
Macapá,24.99,25.58,24.99,24.99,78,Clouds,scattered clouds,3.09,130,1006,10000,2024-10-01 15:21:31
Manaus,30.27,34.71,30.27,30.28,66,Clouds,scattered clouds,1.54,210,1007,10000,2024-10-01 15:21:31
Salvador,26.98,28.82,26.98,26.98,70,Clouds,few clouds,5.95,133,1014,10000,2024-10-01 15:21:31
Fortaleza,30.15,36.71,27.34,31.15,75,Clear,clear sky,7.2,100,1009,10000,2024-10-01 15:21:31
Brasília,30.51,28.78,30.51,33.12,23,Clouds,few clouds,4.12,80,1010,10000,2024-10-01 15:21:31
Vitória,26.59,26.59,26.59,27.92,70,Clouds,few clouds,7.72,50,1014,10000,2024-10-01 15:21:31
Goiânia,34.83,32.56,34.83,34.83,17,Clouds,few clouds,3.09,150,1008,10000,2024-10-01 15:21:32
São Luís,31.11,35.6,31.11,31.11,62,Clouds,scattered clouds,6.17,20,1008,10000,2024-10-01 15:21:32
Cuiabá,39.96,39.96,39.96,39.96,22,Clear,clear sky,5.14,310,1004,10000,2024-10-01 15:21:32
Campo Grande,36.75,36.31,36.75,36.75,26,Clouds,few clouds,6.69,340,1005,10000,2024-10-01 15:21:32
Belo Horizonte,31.59,29.99,29.86,32.46,26,Clouds,scattered clouds,3.09,70,1011,10000,2024-10-01 15:21:32
Belém,28.87,28.65,28.87,31.02,42,Clouds,scattered clouds,4.63,350,1007,10000,2024-10-01 15:21:32
João Pessoa,29.13,29.96,29.13,29.13,51,Clear,clear sky,7.72,110,1012,10000,2024-10-01 15:21:32
Curitiba,32.63,32.29,31.76,33.99,35,Clear,clear sky,7.72,320,1007,10000,2024-10-01 15:21:32
Recife,28.02,29.59,28.02,28.02,61,Clouds,few clouds,6.69,150,1012,10000,2024-10-01 15:21:32
Teresina,37.84,38.23,37.84,37.84,27,Clouds,few clouds,2.06,120,1005,10000,2024-10-01 15:21:32
Rio de Janeiro,37.99,36.24,34.97,38.0,18,Clear,clear sky,4.63,60,1009,10000,2024-10-01 15:21:32
Natal,28.12,29.29,28.12,28.36,57,Clouds,few clouds,10.29,130,1011,10000,2024-10-01 15:21:32
Porto Alegre,18.78,19.32,18.78,18.78,100,Mist,mist,5.14,90,1006,2000,2024-10-01 15:21:33
Porto Velho,36.03,37.29,36.03,36.03,34,Clouds,few clouds,1.54,110,1007,10000,2024-10-01 15:21:33
Boa Vista,32.99,36.86,32.99,32.99,52,Clouds,broken clouds,2.57,240,1006,10000,2024-10-01 15:21:33
Florianópolis,25.09,25.3,23.57,26.46,63,Clouds,scattered clouds,7.2,100,1007,9000,2024-10-01 15:21:33
São Paulo,33.53,33.56,33.03,34.2,35,Clear,clear sky,4.12,300,1008,10000,2024-10-01 15:21:33
Aracaju,26.97,28.41,26.97,26.97,65,Clouds,few clouds,5.66,150,1013,10000,2024-10-01 15:21:33
Palmas,34.93,35.97,34.93,34.93,36,Clear,clear sky,4.12,250,1006,10000,2024-10-01 15:21:33
